INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
F;118347;PAO FRANCES KG;22.657,74;287.307,25;40,14;115.325,40;
F;101819;CHEIRO VERDE UN ;10.231,00;22.383,46;34,67;7.761,46;
F;101571;CERV HEINEKEN LN 330ML ;8.817,00;68.891,66;18,71;12.889,96;
F;101568;CERV ITAIPAVA LT 269ML;8.089,00;23.499,15;18,89;4.439,97;
F;23413;BOMBONS ;7.719,00;773,25;29,71;229,73;
F;116277;CERV IMPERIO PURO MALTE LT 269ML ;7.003,00;18.821,37;18,82;3.541,38;
F;15580;CERV BRAHMA DUPLO MALTE LT SLEEK 350ML ;6.962,00;24.304,48;10,37;2.521,17;
F;101893;BANANA PRATA KG;5.902,94;35.971,59;32,69;11.758,56;
F;124393;CERV BOHEMIA PURO MALTE LT 269ML ;5.249,00;15.433,81;15,06;2.324,57;
F;13205;BOMBONS TROCO UND ;5.112,00;1.022,40;30;306,75;
F;118379;SALGADO GRANDE UN ;5.108,00;25.488,92;36,48;9.299,37;
F;17982;REFRI COCA COLA ORIGINAL 2L ;5.046,00;42.548,54;14,52;6.178,74;
F;21565;CERV SPATEN SLEEK LT 350ML ;4.321,00;17.034,19;6,16;1.048,88;
F;101559;CERV KAISER LT 350ML ;4.222,00;12.924,78;19,29;2.492,67;
F;101200;MARGARINA DELINE 250G ;3.946,00;19.127,82;14,74;2.819,19;
F;11201;ACUCAR ITAMARATI CRISTAL 1KG ;3.890,00;17.813,07;16,82;2.995,54;
F;118819;CAFE C/LEITE ;3.674,37;14.355,53;26,68;3.829,42;
F;20195;COXINHA DE FRANGO UN ;3.606,80;22.529,92;43,26;9.746,14;
F;101748;CEBOLA KG;3.402,93;34.431,47;25,8;8.883,53;
F;100039;ARROZ FACCIO T1 1KG ;3.153,00;16.114,13;20,04;3.229,72;
F;101852;MELANCIA KG;3.101,29;12.043,05;28,32;3.410,26;
F;101601;ACHOC TODDYNHO 200ML ;3.059,00;8.710,91;24,52;2.136,33;
F;101716;REFRI BARE 2L ;3.047,00;15.486,33;19,98;3.093,71;
F;101755;LIMAO KG;2.856,25;17.827,05;31,76;5.662,71;
F;118982;CERV AMSTEL LT 350ML ;2.741,00;9.566,09;13,47;1.288,38;
F;101747;REFRI COCA COLA LT 350ML ;2.725,00;8.674,45;20,66;1.792,26;
F;101264;LEITE ITALAC INT 1L ;2.624,00;22.748,38;17,29;3.932,10;
F;12472;BATATA PORTUGUESA KG;2.617,85;22.801,53;24,53;5.592,55;
F;15424;OVO BRANCO C/6UN ;2.558,00;16.994,42;40,64;6.906,78;
F;118380;SALGADO FRITO GDE UND ;2.501,00;12.479,99;35,96;4.487,53;
F;114140;PAO DE QUEIJO KG;2.379,83;78.800,64;40,95;32.270,32;
F;100641;CHOC BATON AO LEITE 16G ;2.362,00;2.954,56;21,5;635,22;
F;101749;TOMATE REGIONAL KG;2.270,93;23.371,72;27,85;6.509,53;
F;101596;ACHOC PRONTO MOCOCA 200ML ;2.225,00;3.229,85;31,94;1.031,49;
F;118260;CERV BUDWEISER LN 330ML ;2.208,00;12.803,72;17,41;2.228,77;
F;101558;CERV SKOL LT 269ML ;2.168,00;6.334,12;18,26;1.156,84;
F;12257;FRANGO MARINGA KG;2.155,41;27.358,62;18,82;5.147,67;
F;100244;OLEO DE SOJA CONCORDIA 900ML ;2.145,00;25.091,22;19,71;4.946,58;
F;118407;PAO CASEIRO KG ;2.066,95;30.988,56;46,28;14.340,18;
F;101831;COUVE UN ;2.039,00;5.514,57;42,44;2.340,25;
F;12242;PASTEL FOLHEADO;2.036,54;16.132,75;41,14;6.636,45;
F;100692;CAFE SANTA CLARA 250G ;2.036,00;20.356,04;16,21;3.300,19;
F;21007;FOLHEADO QJO/PRES ;2.031,33;12.167,69;45,99;5.596,04;
F;124122;REFRI COCA COLA ORIGINAL 3L ;2.011,00;21.796,39;13,68;2.981,46;
F;15615;MAC ESPAGUETE Q DELICIA 400G ;1.980,00;6.362,92;14,09;896,54;
F;101848;ALFACE CRESPA;1.936,00;6.861,47;31,96;2.193,14;
F;20949;PASTEL FOLHEADO DE FRANGO;1.923,00;11.518,77;45,01;5.184,61;
